ssh://anneke@devcube3:22/home/anneke/keras-gpu/bin/python3.6 -u /home/anneke/projects/uats/code/kits/preprocess.py
Case 0 (16, 336, 169, 43, 125, 281)
Case 1 (31, 227, 100, 36, 131, 339)
Case 2 (15, 387, 160, 54, 134, 285)
Case 3 (33, 265, 163, 45, 136, 268)
Case 4 (25, 344, 181, 45, 88, 328)
Case 5 (30, 333, 334, 47, 119, 211)
Case 6 (35, 269, 103, 34, 99, 303)
Case 7 (19, 309, 164, 37, 124, 329)
Case 8 (118, 176, 148, 52, 191, 311)
Case 9 (20, 282, 137, 45, 101, 258)
Case 10 (9, 228, 133, 41, 128, 251)
Case 11 (16, 213, 126, 39, 128, 272)
Case 12 (20, 256, 146, 46, 105, 249)
Case 13 (17, 247, 121, 36, 105, 224)
Case 14 (23, 291, 186, 40, 101, 248)
Case 15 (28, 255, 103, 38, 119, 290)
Case 16 (34, 203, 108, 43, 101, 257)
Case 17 (33, 193, 88, 45, 130, 266)
Case 18 (45, 249, 147, 38, 124, 293)
Case 19 (40, 304, 142, 44, 110, 348)
Case 20 (33, 313, 129, 45, 93, 314)
Case 21 (23, 244, 156, 35, 124, 274)
Case 22 (25, 228, 142, 36, 150, 293)
Case 23 (37, 287, 130, 48, 97, 289)
Case 24 (36, 210, 95, 35, 107, 259)
Case 25 (33, 225, 114, 48, 141, 309)
Case 26 (121, 219, 146, 42, 171, 337)
Case 27 (37, 312, 137, 44, 124, 307)
Case 28 (41, 298, 118, 49, 114, 332)
Case 29 (96, 264, 151, 37, 98, 260)
Case 30 (13, 149, 109, 43, 195, 229)
Case 31 (16, 162, 61, 37, 101, 233)
Case 32 (30, 266, 151, 43, 79, 231)
Case 33 (31, 239, 130, 40, 119, 309)
Case 34 (50, 233, 127, 41, 126, 312)
Case 35 (46, 354, 177, 47, 108, 355)
Case 36 (29, 286, 120, 43, 124, 319)
Case 37 (31, 256, 145, 49, 158, 330)
Case 38 (6, 231, 96, 44, 130, 324)
Case 39 (30, 203, 90, 45, 133, 269)
Case 40 (29, 192, 193, 72, 139, 186)
Case 41 (6, 215, 123, 44, 108, 247)
Case 42 (40, 280, 147, 34, 154, 326)
Case 43 (43, 241, 122, 43, 98, 276)
Case 44 (41, 334, 171, 44, 118, 314)
Case 45 (22, 250, 111, 34, 106, 253)
Case 46 (28, 324, 165, 50, 121, 321)
Case 47 (106, 259, 145, 42, 149, 307)
Case 48 (23, 291, 232, 45, 149, 273)
Case 49 (44, 262, 134, 35, 127, 334)
Case 50 (16, 247, 109, 39, 90, 273)
Case 51 (6, 375, 168, 40, 113, 332)
Case 52 (16, 291, 163, 43, 103, 322)
Case 53 (9, 276, 143, 33, 97, 269)
Case 54 (36, 282, 156, 54, 131, 354)
Case 55 (30, 299, 138, 48, 146, 321)
Case 56 (26, 206, 154, 59, 164, 268)
